Index,Plaza Name,Sate,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),Congestion_Level,lat,lon,2023,2024
1231,"SORAON Toll
Plaza",Uttar Pradesh,Allahabad,"25.5897643,81.8407997",25.5897643,81.8407997,378.0,20.81,4.585052728106374,25.5897643,81.8407997,3.542500019,4.429090977
1232,"Sosokhurd Toll
Plaza",Jharkhand,Dhanbad,"23.548958,85.756721",23.548958,85.756721,430.0,24.49,3.923107100823853,23.548958,85.756721,2.089166641,2.604545593
1233,Soyal Toll Plaza,Gujarat,Jamnagar,"22.5501006,70.3491712",22.5501006,70.3491712,342.0,18.27,5.189413596263623,22.5501006,70.3491712,9.967499733,8.999091148
1234,"SPTPL Navi
Mumbai",Maharashtra,"Navi
Mumbai","19.029739, 73.089815",19.029739,73.089815,419.0,23.71,4.046944556859571,19.029739,73.089815,17.76333237,23.78181839
1235,"Srinagar Toll
Plaza",Haryana,Palwal,"28.00548,77.332377",28.00548,77.332377,503.0,29.65,3.262642740619902,28.00548,77.332377,4.780833244,6.155454636
1236,SriPerumbadur,Tamil Nadu,"Kanchipura
m","12.982155,79.968944",12.982155,79.968944,269.0,13.11,7.087172218284905,12.982155,79.968944,14.81833363,13.44090939
1237,"Srirampur toll
plaza",Odisha,Jajpur,"20.678864,86.165581",20.678864,86.165581,393.0,21.87,4.372540445999126,20.678864,86.165581,1.601666689,1.381818175
1238,"Sub Gavhan Kh
Toll Plaza",Maharashtra,Jalgaon,"20.862,74.971",20.862,74.971,394.0,21.94,4.359197907585004,20.862,74.971,6.15749979,10.14909077
1239,"Sukhuapada Toll
Plaza",Odisha,Baripada,"22.0753298,86.6433381",22.0753298,86.6433381,511.0,30.21,3.204101249599487,22.0753298,86.6433381,6.16833353,6.295454502
1240,"Sulkhapara Fee
Plaza",West Bengal,Chalsa,"26.87330556,88.91472222",26.87330556,88.91472222,516.0,30.57,3.167564143173899,26.87330556,88.91472222,1.55250001,1.153636336
1241,"Sullurpet Plaza
(NH-16)",Andhra Pradesh,Nellore,"13.744936,79.990993",13.744936,79.990993,307.0,15.8,5.952380952380953,13.744936,79.990993,4.721666813,3.080909014
1242,,,,,,,,,,17.333045,78.184737,1.728333354,1.954545498
1243,"Sumaropa
Location",Himachal Pradesh,Kasol,"32.006100, 77.277700",32.0061,77.2777,497.0,29.22,3.309066843150232,32.0061,77.2777,1.0,1.24636364
1244,"Surajbari Toll
Plaza",Gujarat,Kutch,"23.233738,70.689457",23.233738,70.689457,288.0,14.45,6.472491909385114,23.233738,70.689457,9.316666603,8.874545097
1245,"SURAPATTU
TOLL PLAZA",Tamil Nadu,Tiruvallur,"13.136678,80.181624",13.136678,80.181624,434.0,24.77,3.880481179666279,13.136678,80.181624,22.69166756,23.12000084
1246,"Surathkal Toll
Plaza",Karnataka,"Dakshina
Kannada","13.013341,74.792875",13.013341,74.792875,373.0,20.46,4.659832246039143,13.013341,74.792875,7.0,5.279090881
1247,"Surjapur Toll
Plaza",West Bengal,"Uttar
Dinajpur","25.933558,87.843381",25.933558,87.843381,422.0,23.92,4.012841091492777,25.933558,87.843381,2.520833254,2.119999886
1248,Susari Toll Plaza,Madhya Pradesh,Dhar,"22.160372,74.774565",22.160372,74.774565,341.0,18.2,5.208333333333334,22.160372,74.774565,1.0,1.0
1249,"Taddanpally Toll
Plaza",Telangana,Taddanpally,"17.695444, 78.095667",17.695444,78.095667,500.0,29.43,3.286230693394677,17.695444,78.095667,19.00666618,12.57909107
1250,Takha Km 287,Uttar Pradesh,Etawah,"26.8479,79.3174",26.8479,79.3174,385.0,21.31,4.482294935006724,26.8479,79.3174,18.66833305,17.00636292
1251,Takoli Plaza,Himachal Pradesh,Takoli (Mandi),"31.8108638888889,
77.1840555555556",31.81086389,77.18405556,506.0,29.86,3.240440699935191,31.81086389,77.18405556,1.542500019,1.620000005
1252,"TALAPADY TOLL
PLAZA",Karnataka,Talapady,"12.7590772,74.8743029",12.7590772,74.8743029,439.0,25.12,3.828483920367534,12.7590772,74.8743029,2.842499971,3.014545441
1253,Talchiri,Madhya Pradesh,Sagar,"23.751029,78.756334",23.751029,78.756334,575.0,34.73,2.79876854184159,23.751029,78.756334,1.740833282,1.909999967
1254,"Talegaon Toll
Plaza",Maharashtra,Talegaon,"18.713938, 73.645848",18.713938,73.645848,560.0,33.67,2.884338044418806,18.713938,73.645848,22.90083313,25.31727219
1255,"Talen Mirzapur
Toll Plaza",Madhya Pradesh,Rajgarh,"23.5854430, 76.7370470",23.585443,76.737047,540.0,32.26,3.006614552014432,23.585443,76.737047,2.653333426,1.619090915
1256,,,,,,,,,,17.8261927,76.7398762,8.605833054,8.229090691
1257,"Taloon Toll
Plaza",Madhya Pradesh,Barwani,"22.032864,74.962111",22.032864,74.962111,453.0,26.11,3.688675765400221,22.032864,74.962111,1.786666632,1.870909095
1258,"Tamalwadi Toll
Plaza",Maharashtra,Sholapur,"17.8519632,75.9653571",17.8519632,75.9653571,440.0,25.19,3.818251240931653,17.8519632,75.9653571,4.074999809,3.632727385
1259,Tamdoli,Rajasthan,Ajmer,"26.8700372,74.2927598",26.8700372,74.2927598,514.0,30.42,3.182686187141948,26.8700372,74.2927598,1.0,1.0
1260,"Tamsabad Toll
Plaza",Haryana,Panipat,"29.390801, 77.135678",29.390801,77.135678,355.0,19.19,4.952947003467062,29.390801,77.135678,11.95666695,11.72363663
1261,"Tand Balidih Toll
Plaza",Jharkhand,Bokaro,"23.6679825,86.0449121",23.6679825,86.0449121,424.0,24.06,3.990422984836393,23.6679825,86.0449121,4.432499886,5.53727293
1262,"Tangatur Toll
Plaza",Andhra Pradesh,Prakasam,"15.358166,80.040105",15.358166,80.040105,427.0,24.28,3.955696202531645,15.358166,80.040105,13.86250019,10.90818214
1263,Tankala,Rajasthan,Nagaur,"27.0133229,73.5005487",27.0133229,73.5005487,546.0,32.69,2.968239833778569,27.0133229,73.5005487,1.912500024,2.24000001
1264,Taramatipet,Telangana,Hyderabad,"17.222251, 78.405290",17.222251,78.40529,359.0,19.47,4.885197850512946,17.222251,78.40529,5.218333244,6.172727108
1265,"Tarana Toll
Plaza",Gujarat,Tarana,"22.741453,70.488588",22.741453,70.488588,322.0,16.86,5.599104143337066,22.741453,70.488588,5.978333473,8.190909386
1266,"Tarapoungi
plaza",Chhattisgarh,Raipur,"21.48295722,81.69098972",21.48295722,81.69098972,408.0,22.93,4.178854993731718,21.48295722,81.69098972,4.24333334,3.829999924
1267,Tarihal,Karnataka,Hubli,"15.359531,75.051265",15.359531,75.051265,504.0,29.72,3.255208333333333,15.359531,75.051265,6.627500057,6.27818203
1268,"Taroda-Kasba
Toll Plaza",Maharashtra,Amravati,"20.665869, 76.719947",20.665869,76.719947,450.0,25.9,3.717472118959108,20.665869,76.719947,9.853333473,7.485454559
1269,Tarwa Deva,Uttar Pradesh,Mainpuri,"27.19587,79.36699",27.19587,79.36699,453.0,26.11,3.688675765400221,27.19587,79.36699,15.01749992,14.80727291
1270,"TASAWADE
TOLL PLAZA",Maharashtra,Satara,"17.365756,74.122928",17.365756,74.122928,453.0,26.11,3.688675765400221,17.365756,74.122928,8.074999809,8.374545097
1271,"Tatiawas Toll
Plaza",Rajasthan,Jaipur,"27.089775,75.7415",27.089775,75.7415,225.0,10.0,9.090909090909092,27.089775,75.7415,9.020833015,10.46090889
1272,TAURU,Haryana,Tauru,"28.219695,76.997181",28.219695,76.997181,535.0,31.91,3.038590094196293,28.219695,76.997181,7.864999771,8.184545517
1273,"TCIL BINA TOLL
Road LTD.",Madhya Pradesh,Village Ikoda,"78.065187,24.154869",24.154869,78.065187,609.0,37.14,2.621919244887257,24.154869,78.065187,1.176666617,1.0
1274,"TCIL
LAKHNADON",Madhya Pradesh,"Village
chhitapar","22.65033, 79.93069",22.65033,79.93069,509.0,30.07,3.21853878339234,22.65033,79.93069,1.146666646,1.061818123
1275,"Tendua Toll
Plaza",Uttar Pradesh,Gorakhpur,"26.724015,83.274398",26.724015,83.274398,481.0,28.09,3.437607425232038,26.724015,83.274398,7.079999924,7.71999979
1276,"Thakurtolla toll
plaza",Chhattisgarh,"Rajnandgao
n","21.117914,81.122298",21.117914,81.122298,590.0,35.8,2.717391304347826,21.117914,81.122298,4.23083353,4.156363487
