Index,Plaza Code,Plaza Name,"Concessio naire
Type",Plaza Type,Plaza Sub Typ,Sate,City,Concessionaire,Geo Codes,Longitude,Latitudes,,
92,545089,"Badi Baktara
Toll Plaza",Conc.,TOLL,STATE,Madhya Pradesh,Shahganj,"Badi Baktara
Toll","22.879111,77.830472",22.879111,77.830472,,
93,330114,"Badi Ghati Toll
Plaza",Conc.,TOLL,NATIONAL,Rajasthan,Pushkar,"B.S. Group
(MoRTH)","26.5475364,74.5069619",26.5475364,74.5069619,,
94,570046,"Badkapara Fee
Plaza",PF,TOLL,NATIONAL,Rajasthan,Dausa,NHAI,"26.527359, 76.250052",26.527359,76.250052,,
95,312039,Badli,Conc.,TOLL,STATE,Haryana,Badli,Skylark world,"28.575254,76.820849",28.575254,76.820849,,
96,312002,Badopatti,Conc.,TOLL,NATIONAL,Haryana,Bado patti,IRB,"29.298647,75.8199341",29.298647,75.8199341,,
97,330116,"Bagaliya Toll
Plaza",BOT,TOLL,NATIONAL,Rajasthan,Beawar,ITNLÂ (MoRTH),"25.8843501,74.1608431",25.8843501,74.1608431,,
98,570020,"Bagdi KM 14 Toll
Plaza",Conc.,TOLL,STATE,Rajasthan,Dausa,RIDCOR Ltd,"26.431950, 76.373506",26.43195,76.373506,,
99,356017,"Bagepalli Toll
Plaza",PF,TOLL,NATIONAL,Karnataka,Chikballapur,NHAI,"13.79295,77.764358",13.79295,77.764358,,
100,330117,"Baggar Toll
Plaza",BOT,TOLL,NATIONAL,Rajasthan,Gomti,ITNLÂ (MoRTH),"25.5903343,73.9028527",25.5903343,73.9028527,,completed and nlp
101,536007,"Bagodara TOLL
PLAZA",PF,TOLL,STATE,Gujarat,Ahmedabad,PWD Rajkot,"22.6307,72.1793",22.6307,72.1793,,
102,545097,"Bagwada Fee
Plaza",PF,TOLL,NATIONAL,Madhya Pradesh,Sehore,NHAI,"22.781523,77.733774",22.781523,77.733774,,
103,570041,Bahala Toll Plaza,PF,TOLL,NATIONAL,Rajasthan,Alwar,NHAI,"27.527300, 76.716900",27.5273,76.7169,,
104,536049,"Baharagaon Toll
Plaza",PF,TOLL,NATIONAL,Madhya Pradesh,HARDA,NHAI,"22.315154, 77.250122",22.315154,77.250122,,
105,345068,"Bahoripar TOLL
PLAZA",PF,TOLL,NATIONAL,Madhya Pradesh,Jabalpur,NHAI,"23.04675,79.9073666",23.04675,79.9073666,,
106,312054,Bahri Toll Plaza,PF,TOLL,NATIONAL,Haryana,Bahri,NHAI,"29.485337, 76.512439",29.485337,76.512439,,
107,312058,Bainsi Toll Plaza,PF,TOLL,NATIONAL,Haryana,Bainsi,NHAI,"29.026614, 76.399856",29.026614,76.399856,,
108,350043,Baiti Kala Plaza,PF,TOLL,NATIONAL,Uttar Pradesh,Sultanpur,NHAI,"26.054337 ,82.339392",26.054337,82.339392,,
109,520009,"Bajna Ramp Toll
Plaza",BOT,TOLL,STATE,Uttar Pradesh,Mathura,"Jaypee
Infratech Ltd","27.883269, 77.666004",27.883269,77.666004,,
110,545100,"Bajrangarh Toll
Plaza",Conc,TOLL,STATE,Madhya Pradesh,Guna,"Bansal
Pathways Guna","24.575655,77.286901",24.575655,77.286901,,
111,127004,Bakori,Conc.,TOLL,NATIONAL,Madhya Pradesh,Damoh,"DPJ DRA
Tollways","22.8436452,79.3582326",22.8436452,79.3582326,,
112,536023,Bakrol Toll Plaza,Conc.,TOLL,STATE,Gujarat,Ahmedabad,"Ahmedabad
Ring Road Infra","22.935230, 72.519760",22.93523,72.51976,,
113,378011,"Balachera Toll
Plaza",PF,TOLL,NATIONAL,Assam,Cachar,NHAI,"24.946609,92.756356",24.946609,92.756356,,
114,330121,Balana Toll Plaza,PF,TOLL,NATIONAL,Rajasthan,Pali,NHAI,"25.293327,73.085753",25.293327,73.085753,,
115,320137,Baleni Fee Plaza,Conc.,TOLL,NATIONAL,Uttar Pradesh,Baleni,Raj Shyama,"28.959724,77.443155",28.959724,77.443155,,
116,380019,"Balgudar Toll
Plaza",PF,TOLL,NATIONAL,Bihar,Lakhisarai,NHAI,"25.202348,86.081872",25.202348,86.081872,,
117,370015,"Balibhasa Toll
Plaza",PF,TOLL,NATIONAL,West Bengal,Balibhasa,NHAI,"22.34462627,87.12665241",22.34462627,87.12665241,,
118,314038,"Balluana Toll
Plaza",PF,TOLL,NATIONAL,Punjab,Bhatinda,"Mahender
Godara","30.227490, 74.763624",30.22749,74.763624,,
