ReadDateTime,merchantId,PV,FV,Total
2023-05-31,556018,143,55,198
2023-06-30,556018,52755,13701,66456
2023-07-31,556018,56713,13456,70169
2023-08-31,556018,59835,14877,74712
2023-09-30,556018,56022,12821,68843
2023-10-31,556018,62626,14731,77357
2023-11-30,556018,65185,15020,80205
2023-12-31,556018,69579,16439,86018
2024-01-31,556018,62725,14923,77648
2024-02-29,556018,64189,16040,80229
2024-03-31,556018,61315,16473,77788
2024-04-30,556018,64936,15000,79936
2024-05-31,556018,68028,15007,83035
2023-05-31,556019,16,13,29
2023-06-30,556019,30299,14308,44607
2023-07-31,556019,31126,12605,43731
2023-08-31,556019,32718,14607,47325
2023-09-30,556019,31676,12964,44640
2023-10-31,556019,35885,15441,51326
2023-11-30,556019,37691,15002,52693
2023-12-31,556019,41143,16030,57173
2024-01-31,556019,38681,16126,54807
2024-02-29,556019,39683,16986,56669
2024-03-31,556019,37950,18263,56213
2024-04-30,556019,39895,16458,56353
2024-05-31,556019,46905,17260,64165
2023-06-30,556021,17095,13898,30993
2023-07-31,556021,12558,9971,22529
2023-08-31,556021,15220,12929,28149
2023-09-30,556021,14572,11233,25805
2023-10-31,556021,16762,11890,28652
2023-11-30,556021,17515,11327,28842
2023-12-31,556021,19524,17902,37426
2024-01-31,556021,17333,15916,33249
2024-02-29,556021,18518,13904,32422
2024-03-31,556021,18116,13819,31935
2024-04-30,556021,20766,12623,33389
2024-05-31,556021,22451,14050,36501
2023-05-31,556034,30,8,38
2023-06-30,556034,45845,4441,50286
2023-07-31,556034,44458,3683,48141
2023-08-31,556034,47545,5152,52697
2023-09-30,556034,43855,4321,48176
2023-10-31,556034,50410,4477,54887
2023-11-30,556034,48628,5788,54416
2023-12-31,556034,51931,5721,57652
2024-01-31,556034,51796,5622,57418
2024-02-29,556034,50533,4907,55440
2024-03-31,556034,50376,5201,55577
2024-04-30,556034,55037,4155,59192
2024-05-31,556034,52083,4568,56651
2023-06-30,556042,17791,2302,20093
2023-07-31,556042,48763,5609,54372
2023-08-31,556042,51829,6487,58316
2023-09-30,556042,50079,5253,55332
2023-10-31,556042,58658,6684,65342
2023-11-30,556042,61765,8690,70455
2023-12-31,556042,67999,9983,77982
2024-01-31,556042,57594,9728,67322
2024-02-29,556042,60956,8471,69427
2024-03-31,556042,60979,8561,69540
2024-04-30,556042,68647,7170,75817
2024-05-31,556042,70391,7231,77622
2023-05-31,556035,202,7,209
2023-06-30,556035,12684,850,13534
2023-07-31,556035,10696,759,11455
2023-08-31,556035,11982,946,12928
2023-09-30,556035,10735,810,11545
2023-10-31,556035,16567,982,17549
2023-11-30,556035,13853,1389,15242
2023-12-31,556035,13559,1688,15247
2024-01-31,556035,16150,1765,17915
2024-02-29,556035,14525,1388,15913
2024-03-31,556035,15067,2001,17068
2024-04-30,556035,18306,1034,19340
2024-05-31,556035,15939,946,16885
2023-05-31,556041,31,8,39
2023-06-30,556041,99121,14705,113826
2023-07-31,556041,97736,14442,112178
2023-08-31,556041,101067,14477,115544
2023-09-30,556041,77646,9989,87635
2023-10-31,556041,99141,13250,112391
2023-11-30,556041,96579,13116,109695
2023-12-31,556041,91847,14377,106224
2024-01-31,556041,134549,15569,150118
2024-02-29,556041,152260,17517,169777
2024-03-31,556041,160912,20792,181704
2024-04-30,556041,171497,18442,189939
2024-05-31,556041,203644,20385,224029
2023-05-31,556033,14,2,16
2023-06-30,556033,26907,3473,30380
2023-07-31,556033,22668,2260,24928
2023-08-31,556033,25679,2481,28160
2023-09-30,556033,24787,2323,27110
2023-10-31,556033,26241,3049,29290
2023-11-30,556033,27173,4134,31307
2023-12-31,556033,31736,8070,39806
2024-01-31,556033,28764,6321,35085
2024-02-29,556033,30590,5991,36581
2024-03-31,556033,26280,4581,30861
2024-04-30,556033,26799,3052,29851
2024-05-31,556033,25714,3234,28948
2023-05-31,556032,3,0,3
2023-06-30,556032,6995,574,7569
2023-07-31,556032,6024,371,6395
2023-08-31,556032,10302,803,11105
2023-09-30,556032,11126,885,12011
2023-10-31,556032,12829,957,13786
2023-11-30,556032,12322,1161,13483
2023-12-31,556032,15029,3349,18378
2024-01-31,556032,19526,3484,23010
2024-02-29,556032,22311,3649,25960
2024-03-31,556032,20267,3112,23379
2024-04-30,556032,20476,2681,23157
2024-05-31,556032,20948,2542,23490
2023-05-31,545036,18,9,27
2023-06-30,545036,8923,1630,10553
2023-07-31,545036,10077,1488,11565
2023-08-31,545036,20660,3080,23740
2023-09-30,545036,21556,3099,24655
2023-10-31,545036,24581,4026,28607
2023-11-30,545036,25739,3477,29216
2023-12-31,545036,28923,4299,33222
2024-01-31,545036,27065,3824,30889
2024-02-29,545036,29010,3444,32454
2024-03-31,545036,23362,3019,26381
2024-04-30,545036,23466,3057,26523
2024-05-31,545036,24877,3530,28407
2023-05-31,545035,18,16,34
2023-06-30,545035,16407,4713,21120
2023-07-31,545035,13712,4749,18461
2023-08-31,545035,16573,5035,21608
2023-09-30,545035,14135,4004,18139
