City,MSE,R²,Dew_Point_Coeff,Humidity_Coeff,Intercept
Bilaspur,4.227997379405786,0.8858903937560445,1.0831782089118365,-0.3451169776658267,29.381506766904018
Pali,3.289921662430574,0.935680720178117,1.0527775732611757,-0.33365179966179603,28.54828805447329
Amroha,1.501559910084523,0.9744583044968226,1.0035577318162299,-0.2770036025827013,26.01294770054945
Agar,5.663342578401054,0.8564520153646737,1.0233520820949513,-0.33373966960568446,29.531596054526553
Jaisinghpur,3.1730164160459453,0.941668955068239,0.9634993545623974,-0.30140444162189306,28.672108051974604
Hapur,2.0601156998599137,0.9673916691614417,0.9915045569022534,-0.28581606988840913,26.87044339766276
Hirehalli,3.395764410751297,0.84229022243183,0.8371835853780878,-0.3064006697369557,30.725190728021296
Hathras,2.327533964501291,0.9633873701288568,0.9745527056662419,-0.2933782276278735,27.682875537382053
Bangalore,1.9456515405859862,0.8899845595896413,0.7840881601033898,-0.25765377357964925,28.325686665912812
Elchuru,1.6487731154918375,0.9300604493299462,0.7885289409030946,-0.27336300765780397,30.498822211621878
Patna,2.620670482257871,0.9499808061580911,0.9712455453100187,-0.3025230367430732,28.610554738770254
Ashta,3.80242409356044,0.9003414715122198,1.0398817651618943,-0.3232692262966287,28.58428580554071
Jaora,4.28753781843147,0.8880856852909454,1.0442355447646892,-0.32690731160635084,28.749162092789327
Patan,3.832489785345983,0.9044842639147342,1.075432093694633,-0.34048386611545556,28.7390153397328
Panipat,2.709883260231024,0.9605476451228573,0.9588132602747742,-0.2948511104670057,28.11358997013432
Chhapra,2.73274957039718,0.9482681692828321,0.9680875339198429,-0.295933331685993,28.142578045603567
Arrah,3.3425707706747363,0.9419560336760543,0.9604148224914412,-0.30679901207648874,29.175661099121875
Rajsamand,4.563487832351131,0.9053987922442518,1.0188069417245422,-0.3260027202664876,28.991117532918985
Bargarh,4.108161148392306,0.8855714946964435,1.05300125909699,-0.33538409533819763,29.257295867810992
Hisar,1.703896818764245,0.9655263292786346,0.9813357565697536,-0.27555867806518825,26.362783952727106
Chittoor,1.2499875609541926,0.9431024174124136,0.8283498940981455,-0.2681015560546174,28.915169111583733
Kaithal,2.771128432159951,0.9624991824832715,0.9493378176667133,-0.29177910894920767,28.04630376547231
Dharmapuri,2.581504794244478,0.9053849988951268,1.0393358709785703,-0.3287419320701704,28.784978135872862
Ashoknagar,4.7602817230143115,0.8971793995268799,0.9869526212430954,-0.32025300517861655,29.404521210038528
Rayachoti,2.390574352408037,0.9029334454749341,0.7526885654789778,-0.2867884458528175,31.380169069989986
Ahmedabad,4.670613413235003,0.8686466581914106,1.0705757465029129,-0.3521592404253499,29.640153379991798
Orai,4.415918254747928,0.9303152964632164,0.9492065705587873,-0.3142250040448807,29.69360060438801
Biaora,5.000413069871068,0.8848384718865634,1.0101982341604177,-0.3258509154381294,29.304083054168572
Fatehpur,1.5886507168353328,0.965646736914386,0.9638352640938375,-0.27510637370949204,26.825712623181715
Jogbani,0.5863836894776719,0.9862107125726636,0.9990724883717502,-0.24728642325202643,23.809737609823017
Rewari,2.7538507971895663,0.9611798940373047,0.9614842059658675,-0.2943885007113777,27.8216756872404
Kalyan,3.519008314882056,0.8551042745492539,0.9725889528494944,-0.30944396781328937,29.202717185997265
Faridabad,3.2100368044064305,0.9509114658780063,0.9793045628508127,-0.30141134785242313,28.147653599296397
Chikodi,3.0585509593362956,0.8363941655870396,0.8996542896408803,-0.2949944374337686,29.088246051156812
Pathankot,0.7869808930637776,0.9871513044921341,1.0050065521710634,-0.25798995285066023,24.401610751149615
Gorakhpur,2.1402342169659008,0.9600536867689742,0.9824201102915306,-0.28903541085860596,27.38644403141168
Etah,3.3203620682777597,0.9472331322905265,0.968059757509386,-0.3046628947073873,28.693078227423765
Gopalpur,0.2021162796634503,0.9860575973890522,0.9976871099486271,-0.23927529689698113,23.143534394925585
Bharatpur,2.482503986354613,0.9620090985683595,0.9687097874968131,-0.2928736626348994,27.732462560159966
Bhind,3.7540313864204915,0.9404626511661938,0.9575000225302717,-0.307879442608462,29.097177296529892
Raigarh,4.459094698550448,0.8858033472608531,1.0581313794344542,-0.33743684257547457,29.422850690562267
Hubli,3.5049311929615996,0.8144345531637879,0.8769299214952183,-0.2898887386073906,29.303112068679475
Puraini,2.733771880882926,0.9457506098046673,0.9563447459865025,-0.29496934642293315,28.42103487079734
Prayagraj,2.9533613523722195,0.94933670066785,0.9550864174412659,-0.3025147334123787,28.94725209510841
Gurgaon,2.683418742895638,0.9614383919295861,0.9673858239452016,-0.291182305715105,27.60600771846126
Chincholi,2.4320877693294154,0.8927324382039804,0.9823234743068344,-0.31143178352933776,28.556717044604607
Palwal,2.5984601181397284,0.9616588476182629,0.9765419491860126,-0.29571492544509526,27.783454846283227
Dhar,3.6035246084812345,0.8883838722015296,1.0620859126755595,-0.32257522493628293,28.199147862868095
Bijapur,3.7640981563460407,0.8134473606352941,0.8480692833042773,-0.3152597403306084,31.073036230210974
Bundi,4.524480750305118,0.9166882241105274,0.9797243502227264,-0.32068180014109426,29.319754473675765
Rohtak,2.9160696175044563,0.9597963674206698,0.9528058703064473,-0.29617679377731426,28.1806279237975
Bhagalpur,2.273241217897962,0.9531672261914912,0.9505440255523103,-0.2867077820049938,27.96546505062637
