Index,Plaza Name,City,Geo Codes,Longitude,Latitudes,,,,,,,,
244,"Chak Bamniya
Toll Plaza",Jalandhar,"31.0241526,75.3044463",31.0241526,75.3044463,,,,,,,,
245,"Chakrawda Toll
Plaza",Ujjain,"23.2547289,75.7179749",23.2547289,75.7179749,,,,,,,,
246,"Chalageri Toll
Plaza",Haveri,"14.556782,75.728072",14.556782,75.728072,,,,,,,,
247,"Chalakwadi  toll
plaza",Pune,"19.1700886,74.0751759",19.1700886,74.0751759,,,,,,,,
248,"Chamari Toll
Plaza",Jalaun,"26.036608,79.577976",26.036608,79.577976,,,,,,,,
249,"Champa Toll
Plaza",Nagpur,"20.967070, 79.204168",20.96707,79.204168,,,,,,,,
250,"Chanatoriya
(Sagar) Toll",Sagar,"23.887470, 78.870000",23.88747,78.87,,,,,,,,
251,"Chandermore
Plaza","Murshidaba
d","24.563182,88.019993",24.563182,88.019993,,,,,,,,
252,"Chandimandir
Toll Plaza",Panchkula,"30.738834,76.897977",30.738834,76.897977,,,,,,,,
253,"Chandlana Toll
Plaza",Chandlana,"29.861128, 76.641341",29.861128,76.641341,,,,,,,,
254,"Chandoli Fee
Plaza",Pune,"18.8377812,73.8800121",18.8377812,73.8800121,,,,,,,,
255,"Chandwad toll
plaza",Nashik,"20.325219,74.210736",20.325219,74.210736,,,,,,,,
256,Chapirevula,Nandyal,"15.460198, 78.451697",15.460198,78.451697,,,,,,,,
257,Chapra,Indore,"23.6570433,76.6148339",23.6570433,76.6148339,,,,,,,,
258,"Chapraitha Fee
Plaza",Chhapra,"26.0265755,84.4909225",26.0265755,84.4909225,,,,,,,,
259,Chapri Toll Plaza,Nagaur,"27.349756, 74.671431",27.349756,74.671431,,,,,,,,
260,Chapwa,Patna,"26.731065,84.748063",26.731065,84.748063,,,,,,,,
261,"Charoti Toll
Plaza",Palghar,"19.890544,72.942644",19.890544,72.942644,,,,,,,,
262,"Chatrapatti Toll
Plaza",Dindigul,"10.480588,77.637335",10.480588,77.637335,,,,,,,,
