Index,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),2023,2024
1254,Talegaon,"18.713938, 73.645848",18.713938,73.645848,560,33.67,22.90083313,25.31727219
1255,Rajgarh,"23.5854430, 76.7370470",23.585443,76.737047,540,32.26,2.653333426,1.619090915
1256,,,,,,,8.605833054,8.229090691
1257,Barwani,"22.032864,74.962111",22.032864,74.962111,453,26.11,1.786666632,1.870909095
1258,Sholapur,"17.8519632,75.9653571",17.8519632,75.9653571,440,25.19,4.074999809,3.632727385
1259,Ajmer,"26.8700372,74.2927598",26.8700372,74.2927598,514,30.42,1,1
1260,Panipat,"29.390801, 77.135678",29.390801,77.135678,355,19.19,11.95666695,11.72363663
1261,Bokaro,"23.6679825,86.0449121",23.6679825,86.0449121,424,24.06,4.432499886,5.53727293
1262,Prakasam,"15.358166,80.040105",15.358166,80.040105,427,24.28,13.86250019,10.90818214
1263,Nagaur,"27.0133229,73.5005487",27.0133229,73.5005487,546,32.69,1.912500024,2.24000001
1264,Hyderabad,"17.222251, 78.405290",17.222251,78.40529,359,19.47,5.218333244,6.172727108
1265,Tarana,"22.741453,70.488588",22.741453,70.488588,322,16.86,5.978333473,8.190909386
1266,Raipur,"21.48295722,81.69098972",21.48295722,81.69098972,408,22.93,4.24333334,3.829999924
1267,Hubli,"15.359531,75.051265",15.359531,75.051265,504,29.72,6.627500057,6.27818203
1268,Amravati,"20.665869, 76.719947",20.665869,76.719947,450,25.9,9.853333473,7.485454559
1269,Mainpuri,"27.19587,79.36699",27.19587,79.36699,453,26.11,15.01749992,14.80727291
1270,Satara,"17.365756,74.122928",17.365756,74.122928,453,26.11,8.074999809,8.374545097
1271,Jaipur,"27.089775,75.7415",27.089775,75.7415,225,10,9.020833015,10.46090889
1272,Tauru,"28.219695,76.997181",28.219695,76.997181,535,31.91,7.864999771,8.184545517
1273,Village Ikoda,"78.065187,24.154869",24.154869,78.065187,609,37.14,1.176666617,1
1274,"Village
chhitapar","22.65033, 79.93069",22.65033,79.93069,509,30.07,1.146666646,1.061818123
1275,Gorakhpur,"26.724015,83.274398",26.724015,83.274398,481,28.09,7.079999924,7.71999979
1276,"Rajnandgao
n","21.117914,81.122298",21.117914,81.122298,590,35.8,4.23083353,4.156363487
1277,Kaithal,"29.910500,76.507130",29.9105,76.50713,388,21.52,3.212500095,3.364545345
1278,Samba,"32.6122983, 74.9376458",32.6122983,74.9376458,465,26.96,14.125,12.61727238
1279,Thenepalli,"13.375431,79.078265",13.375431,79.078265,340,18.13,1.817499995,2.097272635
1280,"Tiruvannam
alai","11.989279, 79.475046",11.989279,79.475046,497,29.22,1.81583333,1.535454631
1281,Jaipur,"26.843328,75.615578",26.843328,75.615578,333,17.63,12.70833302,16.3572731
1282,Bellary,"15.05737,76.3569",15.05737,76.3569,406,22.79,17.87833405,9.9290905
1283,Bareilly,"28.480289,79.283886",28.480289,79.283886,355,19.19,11.13916683,9.969090462
1284,Thirpali Badi,"29.910500,76.507130",29.9105,76.50713,300,15.3,3.212500095,3.364545345
1285,Perambalur,"11.396808,78.99356",11.396808,78.99356,483,28.23,14.59916687,10.14000034
1286,"Tiruchirappa
lli","10.885791,78.557668",10.885791,78.557668,636,39.05,1.910833359,1.480000019
